area_type,availability,address,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",3 BHK,Prhtsok,2065,4,1,210
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",3 BHK,NCaveun,2024,3,,157
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",3 BHK,Prhtsok,2059,3,2,225
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,NCaveun,1394,2,1,100
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",3 BHK,Prhtsok,2180,3,2,210
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,,1180,2,2,88.5
Plot  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",5 Bedroom,,2200,7,2,350
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,,1200,2,,86
Plot  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",4 Bedroom,,1200,4,2,300
Built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,NCaveun,1394,2,2,85
Super built-up  Area,18-05-2023,"1st Phase JP Nagar,Bangalore",3 BHK,Inntsth,2077,3,3,175
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",4 BHK,,4550,2,1,240
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,NCaveun,1205,2,1,85
Built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",4 Bedroom,,1900,3,1,400
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",4 BHK,Prhtsok,2615,5,3,222
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 BHK,,900,2,1,75
Built-up  Area,Ready To Move,"1st Stage Domlur,Bangalore",3 BHK,,1350,2,2,65
Built-up  Area,Ready To Move,"1st Stage Indira Nagar,Bangalore",2 BHK,,1400,2,1,67
Super built-up  Area,18-05-2023,"1st Stage Indira Nagar,Bangalore",2 BHK,,1200,2,2,55
Built-up  Area,Ready To Move,"1st Stage Indira Nagar,Bangalore",2 BHK,,940,2,1,56
Super built-up  Area,Ready To Move,"1st Stage Indira Nagar,Bangalore",4 BHK,,3000,4,2,301
Plot  Area,Ready To Move,"1st Stage Indira Nagar,Bangalore",4 Bedroom,,2400,4,1,500
Plot  Area,Ready To Move,"1st Stage Radha Krishna Layout,Bangalore",6 Bedroom,,1790,5,1,250
Super built-up  Area,Ready To Move,"2Electronic City Phase II,Bangalore",27 BHK,,8000,27,0,230
Carpet  Area,Ready To Move,"2nd Block Bel Layout,Bangalore",3 BHK,,1625,3,3,92
Super built-up  Area,Ready To Move,"2nd Block Bel Layout,Bangalore",3 BHK,,1625,3,3,92
Plot  Area,Ready To Move,"2nd Block Hbr Layout,Bangalore",5 Bedroom,,950,5,2,55
Super built-up  Area,18-07-2023,"2nd Block Hrbr Layout,Bangalore",3 BHK,,1550,3,3,110
Built-up  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",3 BHK,Raaden ,1480,3,2,90
Plot  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",5 Bedroom,,1250,5,,300
Plot  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",3 Bedroom,,4273,3,,1100
Super built-up  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",3 BHK,,1480,3,2,90
Plot  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",4 Bedroom,,1050,6,1,74
Plot  Area,Ready To Move,"2nd Block Hrbr Layout,Bangalore",4 Bedroom,,1350,4,3,235
Plot  Area,18-02-2023,"2nd Block Jayanagar,Bangalore",6 Bedroom,,825,6,,400
Plot  Area,18-04-2023,"2nd Block Jayanagar,Bangalore",4 Bedroom,,4920,5,2,1150
Built-up  Area,Ready To Move,"2nd Block Jayanagar,Bangalore",2 BHK,,1000,2,1,97
Super built-up  Area,Ready To Move,"2nd Block Jayanagar,Bangalore",3 BHK,SaignSo,1718,3,3,223
Plot  Area,18-03-2023,"2nd Block Koramangala,Bangalore",7 Bedroom,,5400,5,,972
Plot  Area,Ready To Move,"2nd Block Koramangala,Bangalore",3 Bedroom,,3000,3,1,550
Plot  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",3 Bedroom,,2610,3,0,499
Super built-up  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",5 BHK,,2800,4,2,200
Super built-up  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",2 BHK,Gintsar,1000,1,1,55
Plot  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",8 Bedroom,,1350,8,2,185
Plot  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",3 Bedroom,,1200,3,1,190
Plot  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",6 Bedroom,,900,6,3,170
Built-up  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",2 BHK,,1040,2,2,78
Super built-up  Area,Ready To Move,"2nd Phase JP Nagar,Bangalore",2 BHK,Sharlth,850,2,1,42.5
Super built-up  Area,18-08-2023,"2nd Phase JP Nagar,Bangalore",2 BHK,,1070,2,2,38
Plot  Area,Ready To Move,"2nd phase jp nagar, jp nagar,Bangalore",3 Bedroom,,1200,3,1,205
Super built-up  Area,22-12-2023,"2nd Phase Judicial Layout,Bangalore",1 BHK,,525,1,1,26
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1450,2,1,50.75
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",2 BHK,,1150,2,1,40.25
Super built-up  Area,22-12-2023,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1300,3,2,64
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1350,2,2,47.25
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1350,2,2,47.25
Super built-up  Area,22-12-2023,"2nd Phase Judicial Layout,Bangalore",2 BHK,,700,2,1,35
Super built-up  Area,22-06-2023,"2nd Phase Judicial Layout,Bangalore",2 BHK,,900,2,2,41
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1681,3,3,69
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",3 BHK,,1350,2,2,47.25
Super built-up  Area,Ready To Move,"2nd Phase Judicial Layout,Bangalore",2 BHK,,1150,2,1,40.25
Plot  Area,Ready To Move,"2nd Stage Arekere Mico Layout,Bangalore",4 Bedroom,,1200,4,1,130
Plot  Area,Ready To Move,"2nd Stage Arekere Mico Layout,Bangalore",4 Bedroom,,1200,4,1,235
Super built-up  Area,Ready To Move,"2nd Stage Arekere Mico Layout,Bangalore",3 BHK,BrriaLu,2095,3,2,142
Built-up  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,600,3,1,95
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,1500,4,2,220
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",6 Bedroom,,3000,8,3,451
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",6 Bedroom,,2400,8,3,450
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,1200,4,2,245
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,2,285
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,1350,4,1,200
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,3,240
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",3 Bedroom,,600,4,2,100
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,1200,4,1,225
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,600,4,2,125
Built-up  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,3000,3,3,170
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,3,240
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,3,240
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,2,240
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,5,,290
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,3,240
Carpet  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,4000,4,3,240
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,1500,3,2,230
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,600,3,1,84
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",4 Bedroom,,600,3,2,82
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",3 Bedroom,,600,5,1,135
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",6 Bedroom,,1500,4,2,233
Plot  Area,Ready To Move,"2nd Stage Nagarbhavi,Bangalore",5 Bedroom,,1200,4,2,240
Built-up  Area,Ready To Move,"3rd Block Banashankari,Bangalore",4 Bedroom,,1700,2,1,550
Plot  Area,Ready To Move,"3rd Block Banashankari,Bangalore",6 Bedroom,,2400,8,2,650
Plot  Area,Ready To Move,"3rd Block Banashankari,Bangalore",4 Bedroom,,1200,4,1,175
Built-up  Area,18-04-2023,"3rd Block Banashankari,Bangalore",3 BHK,,1627,3,1,133
Plot  Area,Ready To Move,"3rd Block Banashankari,Bangalore",5 Bedroom,,2400,4,1,325
Built-up  Area,Ready To Move,"3rd Block HBR Layout,Bangalore",3 Bedroom,,2000,3,1,100
Plot  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",5 Bedroom,Bemesrm,1200,5,2,190
Plot  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",4 Bedroom,,1200,3,1,210
Super built-up  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",2 BHK,Icncy R,1056,2,1,80
Plot  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",2 Bedroom,,1200,2,1,200
Built-up  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",2 BHK,Icncy R,1320,2,3,90
Built-up  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",2 BHK,Icncy R,1300,2,3,95
Built-up  Area,Ready To Move,"3rd Block Hrbr Layout,Bangalore",3 BHK,,1650,3,2,140
Built-up  Area,Ready To Move,"3rd Block Jayanagar,Bangalore",2 BHK,,1000,2,1,130
Super built-up  Area,Ready To Move,"3rd Block Jayanagar,Bangalore",3 BHK,,1350,2,2,140
Built-up  Area,Ready To Move,"3rd Block Jayanagar,Bangalore",3 BHK,,2150,3,3,240
Built-up  Area,Ready To Move,"3rd Block Koramangala,Bangalore",3 BHK,,1750,3,3,170
Super built-up  Area,Ready To Move,"3rd Block Koramangala,Bangalore",3 BHK,Aplanje,2100,3,1,270
Super built-up  Area,Ready To Move,"3rd Phase Iti Layout,Bangalore",2 BHK,,1145,2,1,63
Built-up  Area,Ready To Move,"3rd Phase JP Nagar,Bangalore",3 BHK,Shestth,1550,2,2,79
Super built-up  Area,Ready To Move,"3rd Phase JP Nagar,Bangalore",3 BHK,,2400,3,1,270
Built-up  Area,Ready To Move,"3rd Phase JP Nagar,Bangalore",4 BHK,,4500,4,3,345
Built-up  Area,Ready To Move,"3rd Stage Raja Rajeshwari Nagar,Bangalore",2 BHK,,1300,3,1,65
Plot  Area,18-04-2023,"4 Bedroom Farm House in Bagalur,Bangalore",4 Bedroom,,10961,4,1,80
Plot  Area,Ready To Move,"4th Block HBR Layout,Bangalore",5 Bedroom,,1200,5,2,138
Super built-up  Area,19-12-2023,"4th Block Jayanagar,Bangalore",3 BHK,,2005,3,2,240
Super built-up  Area,Ready To Move,"4th Block Jayanagar,Bangalore",2 BHK,,900,2,1,70
Super built-up  Area,Ready To Move,"4th Block Jayanagar,Bangalore",3 BHK,,1567,2,0,190
Plot  Area,Ready To Move,"4th Block Jayanagar,Bangalore",7 Bedroom,,2240,4,1,700
Built-up  Area,Ready To Move,"4th Block Koramangala,Bangalore",3 BHK,,1800,3,3,140
Carpet  Area,Ready To Move,"4th Block Koramangala,Bangalore",9 BHK,,4500,9,,500
Plot  Area,Ready To Move,"4th Block Koramangala,Bangalore",4 Bedroom,,2400,4,,500
Plot  Area,Ready To Move,"4th Block Koramangala,Bangalore",4 Bedroom,,2400,4,0,550
Super built-up  Area,Ready To Move,"4th Block Koramangala,Bangalore",2 BHK,EvestPi,1225,2,2,150
Super built-up  Area,Ready To Move,"4th Block Koramangala,Bangalore",4 BHK,,3400,6,,420
Built-up  Area,Ready To Move,"4th Block Koramangala,Bangalore",4 Bedroom,,2400,5,3,180
Plot  Area,Ready To Move,"4th Block Koramangala,Bangalore",4 Bedroom,,2400,4,3,600
Super built-up  Area,Ready To Move,"4th Block Koramangala,Bangalore",2 BHK,,1269,2,2,97
Super built-up  Area,18-08-2023,"4th Phase JP Nagar,Bangalore",2 BHK,,1070,2,2,38.9
Plot  Area,Ready To Move,"4th Phase JP Nagar,Bangalore",5 Bedroom,,2250,5,1,360
Super built-up  Area,18-08-2023,"4th Phase JP Nagar,Bangalore",2 BHK,,1080,2,2,38
Super built-up  Area,Ready To Move,"4th Phase JP Nagar,Bangalore",2 BHK,,600,4,1,70
Built-up  Area,19-03-2023,"4th T block Jayanagar,Bangalore",4 BHK,,3900,4,,333
Built-up  Area,Ready To Move,"4th T block Jayanagar,Bangalore",4 Bedroom,,1550,4,1,120
Plot  Area,Ready To Move,"4th T block Jayanagar,Bangalore",4 Bedroom,,2080,4,2,440
Super built-up  Area,Ready To Move,"4th T block Jayanagar,Bangalore",3 BHK,,2401,3,2,185
Plot  Area,Ready To Move,"4th T block Jayanagar,Bangalore",4 Bedroom,,2400,4,2,480
Super built-up  Area,Ready To Move,"4th T block Jayanagar,Bangalore",3 BHK,,2100,3,3,220
Super built-up  Area,Ready To Move,"4th T block Jayanagar,Bangalore",3 BHK,,2400,3,2,185
Plot  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",6 Bedroom,,1200,6,2,250
Plot  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",5 Bedroom,,1200,6,1,220
Plot  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",4 Bedroom,,1200,4,2,205
Super built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",2 BHK,,1206,2,2,56
Super built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",3 BHK,,1270,2,2,70
Super built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",2 BHK,,1312,2,3,69
Plot  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",9 Bedroom,,2600,12,,675
Super built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",2 BHK,,1100,2,2,48
Built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",5 Bedroom,,3600,5,3,130
Super built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",5 BHK,,1200,5,,205
Built-up  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",6 BHK,,5100,5,3,300
Plot  Area,Ready To Move,"5th Block Hbr Layout,Bangalore",5 Bedroom,,1200,5,,205
Built-up  Area,Ready To Move,"5th Block Jayanagar,Bangalore",1 Bedroom,,1500,1,1,300
Plot  Area,Ready To Move,"5th Block Jayanagar,Bangalore",3 Bedroom,,500,2,1,75
Plot  Area,Ready To Move,"5th Block Jayanagar,Bangalore",4 Bedroom,,10624,4,2,2340
Built-up  Area,Ready To Move,"5th block Koramangala,Bangalore",4 BHK,,4000,4,1,520
Super built-up  Area,18-08-2023,"5th Phase JP Nagar,Bangalore",2 BHK,,1070,2,2,39
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Prenty ,1150,3,3,52.5
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1256,2,1,62.8
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,Shlashi,1725,2,2,100
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,,1700,2,3,100
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",1 BHK,Shenshi,600,1,1,30
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1256,2,1,62.8
Plot  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",9 Bedroom,,1260,11,,290
Plot  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",9 Bedroom,,812,6,3,165
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Mangsr ,1075,2,2,60
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1207,2,2,63
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1440,2,2,60
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,,1400,2,1,88
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Sorta S,1450,2,1,58
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,MBncele,1485,2,2,67
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",5 BHK,,2500,5,,110
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1390,2,2,65
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1220,2,3,88
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Maodser,1000,2,0,48
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,MBaleRo,1350,2,1,75
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",1 BHK,,552,1,1,23.5
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Saisena,1200,2,2,51
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,,1240,3,2,60
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,,1550,3,3,75
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,MBncele,1485,2,1,66
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Matonr ,1030,2,2,57
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,1200,2,1,68
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Niaveha,1190,2,2,61.8
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",5 BHK,,4000,5,2,170
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Maodser,1080,2,1,53
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Mangsr ,1041,2,2,54
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,,812,2,1,42
Built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Rewelav,1010,2,2,57
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",3 BHK,NDncysi,1450,2,2,73
Plot  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",8 Bedroom,,1200,7,3,250
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",7 BHK,,2500,8,3,95
Super built-up  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",2 BHK,Mangsr ,1075,2,2,60
Plot  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",4 Bedroom,,1000,4,2,130
Plot  Area,Ready To Move,"5th Phase JP Nagar,Bangalore",4 Bedroom,,2400,4,1,228
Super built-up  Area,Ready To Move,"5th Stage BEML Layout,Bangalore",3 BHK,,2000,3,2,85
Super built-up  Area,Ready To Move,"5th Stage BEML Layout,Bangalore",3 BHK,,2000,3,2,85
Plot  Area,Ready To Move,"5th Stage BEML Layout,Bangalore",4 Bedroom,,1200,5,,325
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR,Bangalore",3 Bedroom,,4000,3,1,660
Super built-up  Area,Ready To Move,"6th Block Jayanagar,Bangalore",3 BHK,,2100,4,2,255
Plot  Area,18-04-2023,"6th block Koramangala,Bangalore",5 Bedroom,,1200,5,2,300
Super built-up  Area,18-10-2023,"6th block Koramangala,Bangalore",3 BHK,,1450,2,3,89.6
Built-up  Area,Ready To Move,"6th block Koramangala,Bangalore",3 BHK,Sinde G,2350,3,2,400
Built-up  Area,Ready To Move,"6th block Koramangala,Bangalore",2 BHK,Krone S,1117,2,1,110
Super built-up  Area,Ready To Move,"6th block Koramangala,Bangalore",3 BHK,,3000,3,2,400
Super built-up  Area,Ready To Move,"6th Block Rajaji Nagar,Bangalore",4 BHK,,3200,3,3,190
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 Bedroom,,600,2,0,100
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,,1645,3,3,100
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,SNpalaj,1140,2,2,65
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",1 Bedroom,,600,1,1,75
Plot  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",8 Bedroom,,1650,6,2,135
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,HMinebo,1192,2,2,74
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,,1180,2,3,80
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",4 BHK,,3245,4,,250
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,Vador S,1280,2,,56
